id,order_id,product_id,quantity,unit_price
1,1,967,4,71.67
2,1,426,2,145.02
3,2,995,5,297.62
4,3,942,3,553.77
5,3,123,1,553.91
6,3,970,5,269.25
7,4,539,1,538.87
8,4,775,2,275.05
9,4,963,1,218.55
10,4,6,3,550.48
11,5,554,4,55.34
12,5,224,4,587.57
13,5,927,3,586.39
14,5,741,1,178.85
15,5,132,3,505.3
16,6,114,5,724.96
17,6,627,3,302.06
18,6,78,3,750.77
19,7,65,5,822.69
20,7,589,5,140.99
21,7,491,5,721.48
22,7,539,1,538.87
23,8,778,4,380.09
24,8,871,4,248.57
25,8,876,1,931.18
26,9,705,1,774.28
27,9,847,3,31.72
28,9,225,4,483.11
29,10,408,5,332.43
30,10,759,1,27.45
31,10,531,3,405.02
32,11,343,5,992.15
33,12,611,5,35.83
34,12,453,4,52.85
35,12,819,5,225.79
36,12,408,3,332.43
37,13,472,4,481.64
38,14,977,3,189.31
39,14,872,5,36.07
40,15,441,3,950.58
41,15,605,3,439.55
42,15,324,1,660.18
43,15,684,5,43.42
44,15,832,1,842.56
45,16,221,2,399.51
46,17,186,2,813.43
47,17,133,3,450.27
48,17,383,1,183.9
49,17,294,3,519.87
50,17,603,4,770.29
51,18,272,3,708.6
52,18,729,3,387.24
53,19,60,5,214.25
54,19,912,3,707.61
55,19,980,4,465.57
56,19,198,2,438.7
57,20,772,2,118.71
58,21,627,3,302.06
59,22,781,3,995.72
60,23,232,4,840.22
61,23,87,1,167.26
62,23,127,1,73.25
63,23,797,1,865.85
64,24,447,4,523.36
65,24,255,1,242.28
66,24,541,5,684.27
67,24,220,4,500.95
68,25,611,1,35.83
69,25,158,5,833.12
70,25,823,1,819.35
71,25,375,2,986.72
72,25,745,5,416.17
73,26,287,4,663.69
74,27,994,3,457.98
75,28,333,2,705.74
76,28,148,1,156.55
77,28,469,5,14.41
78,28,649,4,72.67
79,28,970,5,269.25
80,29,460,5,653.86
81,29,780,3,458.09
82,29,772,5,118.71
83,30,920,2,43.68
84,31,359,2,26.29
85,31,437,5,234.54
86,32,469,2,14.41
87,32,456,1,186.08
88,32,114,1,724.96
89,33,633,3,649.1
90,33,165,4,875.48
91,33,139,2,244.76
92,34,371,4,735.53
93,34,797,1,865.85
94,34,705,2,774.28
95,34,865,4,470.81
96,35,136,3,790.14
97,35,406,1,655.42
98,35,293,5,706.67
99,35,924,4,40.03
100,35,363,1,721.18
101,36,566,2,744.42
102,36,695,4,208.71
103,36,928,1,858.3
104,36,919,1,729.79
105,36,365,1,212.04
106,37,192,5,166.23
107,37,110,5,747.14
108,37,89,4,682.71
109,38,235,4,724.54
110,38,587,4,321.98
111,39,969,4,299.61
112,39,198,3,438.7
113,39,242,4,407.06
114,39,322,2,377.91
115,39,890,4,902.37
116,40,546,3,712.15
117,41,377,3,715.91
118,41,242,3,407.06
119,41,458,4,674.15
120,41,627,4,302.06
121,41,95,4,292.41
122,42,386,5,537.61
123,43,935,2,867.73
124,43,379,5,416.66
125,44,518,2,603.05
126,44,656,3,57.98
127,44,625,3,550.37
128,45,343,2,992.15
129,45,493,3,622.68
130,45,823,1,819.35
131,46,339,5,636.97
132,47,405,4,403.42
133,48,951,2,689.77
134,49,167,2,100.31
135,49,61,1,30.82
136,50,314,2,551.83
137,50,924,5,40.03
138,51,980,5,465.57
139,52,447,4,523.36
140,52,727,4,138.91
141,52,274,1,10.54
142,52,10,3,306.6
143,53,846,4,431.25
144,53,170,2,994.76
145,53,296,2,461.86
146,53,200,2,436.28
147,54,181,5,769.18
148,54,720,4,951.62
149,54,239,3,369.24
150,54,702,3,740.75
151,54,814,5,931.63
152,55,248,3,96.43
153,55,108,3,663.64
154,55,332,3,825.6
155,56,492,5,797.21
156,57,135,2,833.61
157,57,267,4,255.76
158,57,685,4,44.3
159,57,133,5,450.27
160,58,818,5,95.87
161,58,887,1,938.17
162,58,356,2,704.93
163,58,686,5,105.66
164,59,640,3,809.34
165,59,331,2,326.77
166,59,854,3,978.02
167,60,52,4,20.52
168,61,849,2,547.65
169,61,33,5,586.86
170,61,779,5,615.04
171,61,144,5,418.84
172,62,76,3,119.69
173,62,470,4,832.49
174,62,721,5,476.49
175,62,350,1,777.09
176,62,826,2,462.69
177,63,964,1,624.32
178,64,892,2,434.56
179,65,769,4,190.16
180,65,783,4,347.64
181,65,487,4,489.96
182,65,331,3,326.77
183,65,617,3,912.46
184,66,551,1,857.55
185,67,794,3,488.07
186,67,311,5,972.83
187,68,178,4,641.57
188,68,489,4,427.86
189,68,628,4,39.91
190,68,444,4,141.54
191,69,563,4,305.87
192,69,757,1,21.41
193,70,560,1,854.16
194,71,535,2,284.99
195,71,474,1,501.07
196,71,386,1,537.61
197,71,222,4,930.35
198,71,61,5,30.82
199,72,478,5,406.68
200,72,101,4,183.48
201,72,899,3,914.18
202,72,674,2,935.25
203,73,367,2,664.4
204,73,547,1,907.62
205,74,373,3,36.61
206,74,399,5,683.84
207,75,240,4,184.55
208,75,53,2,33.56
209,75,71,5,676.81
210,75,38,3,599.78
211,76,687,3,37.56
212,76,697,2,877.19
213,77,174,2,331.84
214,77,567,5,890.45
215,77,369,1,636.49
216,77,702,1,740.75
217,78,733,3,688.56
218,78,601,2,141.18
219,78,789,5,143.2
220,78,165,5,875.48
221,78,782,2,245.75
222,79,103,5,780.1
223,79,548,5,844.09
224,80,307,4,87.33
225,80,804,2,576.68
226,80,443,5,548.75
227,80,809,4,445.82
228,80,909,3,151.26
229,81,168,2,119.63
230,82,986,3,427.2
231,83,100,5,318.76
232,83,174,4,331.84
233,83,838,5,819.91
234,83,928,5,858.3
235,83,178,4,641.57
236,84,2,5,823.94
237,84,909,5,151.26
238,84,901,4,737.66
239,84,515,5,254.94
240,85,862,3,881.48
241,85,528,1,726.37
242,85,650,2,921.96
243,85,627,3,302.06
244,85,65,1,822.69
245,86,58,3,362.49
246,86,958,3,362.08
247,86,975,5,556.16
248,86,999,5,744.17
249,86,30,4,754.75
250,87,943,4,697.22
251,87,769,4,190.16
252,87,68,1,392.63
253,88,426,4,145.02
254,88,391,2,351.05
255,88,453,1,52.85
256,88,830,3,377.77
257,88,668,4,430.58
258,89,582,4,400.35
259,89,244,2,459.74
260,90,264,5,838.86
261,90,562,1,645.99
262,90,777,1,91.84
263,91,449,3,203.94
264,92,292,2,371.08
265,92,915,1,247.75
266,92,739,5,771.7
267,93,248,2,96.43
268,93,283,5,896.03
269,93,115,4,653.5
270,93,104,4,681.05
271,93,27,5,699.18
272,94,257,2,512.15
273,94,409,3,103.11
274,94,649,4,72.67
275,94,515,4,254.94
276,95,55,5,254.14
277,95,303,3,290.66
278,95,615,1,762.11
279,95,284,3,334.02
280,96,816,5,436.51
281,96,971,2,837.54
282,96,658,1,526.59
283,96,471,2,401.95
284,96,223,4,663.8
285,97,710,1,919.61
286,97,575,3,265.54
287,97,608,3,170.74
288,97,725,3,568.34
289,98,822,4,49.03
290,99,760,4,896.93
291,99,373,5,36.61
292,99,224,2,587.57
293,100,754,4,990.3
294,100,78,5,750.77
295,100,40,1,516.57
296,100,634,2,27.23
297,100,181,5,769.18
298,101,660,5,711.14
299,101,767,1,51.67
300,101,539,3,538.87
301,102,739,1,771.7
302,102,591,2,761.43
303,102,936,2,993.19
304,103,967,2,71.67
305,104,574,1,596.83
306,104,810,3,195.12
307,104,247,5,707.49
308,104,50,5,727.35
309,105,818,3,95.87
310,105,643,3,330.16
311,105,839,2,205.76
312,106,562,2,645.99
313,106,822,1,49.03
314,106,647,4,543.7
315,106,148,5,156.55
316,107,222,4,930.35
317,107,935,1,867.73
318,108,909,4,151.26
319,108,207,4,237.42
320,108,985,5,472.68
321,109,863,4,164.96
322,109,967,1,71.67
323,110,972,4,210.64
324,111,798,3,310.22
