id,customer_id,order_date,total_amount,status
1,3855,"2024-05-26 17:25:05",576.72,processing
2,3654,"2024-11-19 23:46:15",1488.1,pending
3,3791,"2024-05-25 10:20:03",3561.47,cancelled
4,140,"2025-02-24 13:03:09",2958.96,pending
5,4476,"2024-07-29 02:22:13",6025.56,processing
6,646,"2025-03-02 07:31:45",6783.29,processing
7,2474,"2024-10-27 09:51:43",8964.67,cancelled
8,696,"2024-06-10 03:03:36",3445.82,pending
9,239,"2024-05-23 12:49:20",2801.88,processing
10,3106,"2024-06-28 16:01:03",2904.66,pending
11,4088,"2024-12-25 18:00:24",4960.75,processing
12,2672,"2025-02-13 22:17:17",2516.79,delivered
13,3568,"2024-09-20 20:32:08",1926.56,delivered
14,3726,"2024-10-07 05:49:55",748.28,cancelled
15,957,"2025-02-02 22:25:21",5890.23,cancelled
16,3639,"2024-09-08 09:03:41",799.02,shipped
17,1491,"2025-01-18 08:47:33",7802.34,pending
18,280,"2024-05-30 20:16:46",3287.52,processing
19,238,"2024-08-31 04:02:00",5933.76,processing
20,1090,"2024-10-21 10:56:21",237.42,shipped
21,605,"2024-12-16 00:29:46",906.18,delivered
22,4470,"2025-04-13 18:38:56",2987.16,pending
23,1113,"2025-04-05 03:13:36",4467.24,processing
24,3656,"2025-04-16 00:55:58",7760.87,pending
25,430,"2024-08-25 05:07:39",9075.07,delivered
26,4970,"2024-08-13 07:28:58",2654.76,delivered
27,386,"2025-04-22 04:30:57",1373.94,cancelled
28,3000,"2024-06-27 21:19:37",3277.01,delivered
29,164,"2024-06-03 18:42:11",5237.12,delivered
30,3606,"2025-04-24 21:18:57",87.36,shipped
31,3770,"2024-06-24 03:06:09",1225.28,cancelled
32,2590,"2025-02-22 09:10:01",939.86,processing
33,1367,"2024-05-07 17:20:06",5938.74,shipped
34,1037,"2024-09-10 17:43:38",7239.77,pending
35,3750,"2024-08-17 06:30:17",7440.49,delivered
36,4502,"2025-01-04 00:24:32",4123.81,delivered
37,2532,"2024-08-31 07:52:04",7297.69,shipped
38,443,"2025-02-08 23:21:44",4186.08,cancelled
39,2878,"2024-11-25 03:05:19",8508.08,shipped
40,3395,"2024-07-21 10:35:45",2136.45,delivered
41,4474,"2024-06-22 11:00:22",8443.39,shipped
42,419,"2024-12-17 10:07:48",2688.05,delivered
43,4478,"2025-01-09 17:50:38",3818.76,cancelled
44,4884,"2024-12-19 10:08:33",3031.15,processing
45,1185,"2024-09-11 13:49:40",4671.69,shipped
46,3558,"2024-07-20 04:40:22",3184.85,cancelled
47,4746,"2024-11-04 18:11:31",1613.68,cancelled
48,3929,"2024-05-17 11:05:28",1379.54,pending
49,1775,"2024-12-13 14:56:52",231.44,processing
50,710,"2025-02-18 21:17:55",1303.81,shipped
51,1096,"2024-08-26 22:16:25",2327.85,processing
52,1262,"2024-06-07 14:29:20",3579.42,pending
53,3879,"2024-11-22 16:32:50",5510.8,shipped
54,573,"2024-11-08 04:59:23",15640.5,processing
55,719,"2025-03-02 02:09:04",4757.01,shipped
56,1507,"2024-12-07 12:43:16",3986.05,processing
57,1158,"2025-01-28 11:31:22",5118.81,delivered
58,3443,"2024-08-16 22:18:07",3355.68,pending
59,2130,"2024-12-16 03:45:50",6015.62,delivered
60,272,"2024-11-23 20:58:12",82.08,cancelled
61,3324,"2024-09-25 03:33:47",9199,delivered
62,2106,"2024-09-22 11:47:46",7773.95,delivered
63,2548,"2025-04-06 01:01:25",624.32,pending
64,407,"2024-05-21 21:56:49",869.12,shipped
65,3572,"2024-08-14 03:22:29",7828.73,processing
66,3017,"2024-05-04 23:54:54",857.55,cancelled
67,957,"2024-09-07 11:19:44",6328.36,delivered
68,674,"2024-06-26 00:59:31",5003.52,shipped
69,2727,"2024-07-06 04:11:40",1244.89,shipped
70,615,"2025-04-28 11:36:55",854.16,cancelled
71,2847,"2024-12-23 09:32:06",5484.16,cancelled
72,3894,"2025-03-10 23:44:49",7380.36,pending
73,831,"2024-06-10 13:31:03",2236.42,delivered
74,4633,"2024-05-11 08:55:53",3529.03,cancelled
75,2820,"2025-02-04 18:33:43",5988.71,pending
76,477,"2024-09-06 07:56:48",1867.06,cancelled
77,2730,"2024-11-20 01:04:16",6493.17,pending
78,4007,"2024-11-10 08:14:21",7932.94,pending
79,2779,"2024-08-04 22:08:42",8120.95,shipped
80,3457,"2025-03-28 19:37:01",6483.49,cancelled
81,2870,"2025-02-24 00:41:51",239.26,delivered
82,2814,"2024-10-20 02:48:27",1281.6,processing
83,635,"2025-03-30 09:54:52",13878.5,shipped
84,1640,"2024-12-04 23:41:03",9101.34,pending
85,486,"2025-02-04 05:28:51",6943.6,delivered
86,3146,"2025-03-16 10:50:38",11694.4,delivered
87,4985,"2025-03-12 00:03:45",3942.15,processing
88,361,"2025-04-07 09:50:05",4190.66,cancelled
89,2444,"2024-07-09 05:15:11",2520.88,cancelled
90,4008,"2024-12-01 05:22:14",4932.13,delivered
91,3636,"2024-06-19 03:31:00",611.82,shipped
92,1688,"2024-05-19 03:57:26",4848.41,delivered
93,2185,"2024-07-21 18:51:56",13507.1,processing
94,4386,"2024-08-16 00:02:54",2644.07,delivered
95,24,"2025-01-27 23:57:06",3906.85,shipped
96,4504,"2024-11-16 09:07:32",7843.32,cancelled
97,1390,"2024-06-15 11:17:21",3933.47,pending
98,3409,"2024-07-25 20:43:10",196.12,shipped
99,535,"2024-10-05 10:08:02",4945.91,cancelled
100,3501,"2025-04-28 16:50:12",12132,pending
101,2604,"2024-06-25 19:23:57",5223.98,delivered
102,2085,"2025-03-27 22:19:08",4280.94,delivered
103,146,"2025-03-11 01:37:45",143.34,cancelled
104,2345,"2024-07-31 04:53:51",8356.39,delivered
105,1207,"2024-10-12 19:13:04",1689.61,delivered
106,3628,"2025-04-22 04:52:09",4298.56,processing
107,2732,"2024-06-05 07:35:28",4589.13,pending
108,3730,"2024-10-04 23:38:32",3918.12,shipped
109,2840,"2025-04-19 09:28:10",731.51,pending
110,4492,"2024-12-05 18:59:40",842.56,pending
111,2504,"2024-11-09 12:44:32",930.66,processing
112,4164,"2024-09-20 20:38:00",7669.04,delivered
113,365,"2024-09-17 05:26:01",4876.45,shipped
114,657,"2024-07-05 11:48:47",3432.36,processing
115,1703,"2025-02-18 18:12:23",5911.24,pending
116,4726,"2024-09-06 17:36:58",4152.22,shipped
117,2726,"2024-10-19 21:21:47",10174.8,delivered
118,81,"2024-06-16 04:36:55",2212.98,processing
119,2917,"2024-12-07 14:20:04",731.6,delivered
120,52,"2025-03-02 22:41:09",2029.7,cancelled
121,3176,"2025-04-03 11:26:47",5479.75,processing
122,1527,"2025-03-20 14:46:20",108.21,cancelled
123,880,"2024-12-04 13:20:09",3415.36,shipped
124,4476,"2025-03-01 20:30:11",10291.7,cancelled
125,3873,"2025-02-18 20:06:15",3453.61,cancelled
126,4674,"2024-05-19 19:59:28",510.91,cancelled
127,2430,"2024-05-05 03:43:24",2943.03,delivered
128,766,"2025-04-24 17:52:56",10926.1,processing
129,859,"2025-04-24 10:12:04",6697.09,cancelled
130,185,"2024-12-20 21:47:20",3896.82,shipped
131,1034,"2025-03-23 03:04:02",913.94,delivered
132,725,"2025-02-26 13:35:26",6117.26,delivered
133,1999,"2024-07-19 21:22:28",1448.46,delivered
134,2935,"2024-06-19 16:00:28",579.78,processing
135,2667,"2024-11-04 23:55:53",1664.68,delivered
136,718,"2024-07-25 04:45:29",8555.59,processing
137,2351,"2024-09-30 04:57:05",3938.93,shipped
138,1735,"2024-05-07 01:25:39",8328.01,shipped
139,875,"2024-10-10 08:53:06",2323.83,delivered
140,1495,"2024-07-14 19:00:34",6377.18,delivered
141,3081,"2025-04-17 03:51:51",650.73,pending
142,2701,"2025-01-18 02:20:54",653.86,pending
143,4342,"2024-09-25 20:40:47",9339.12,processing
144,2988,"2025-01-14 01:46:32",737.7,processing
145,1305,"2024-06-13 13:16:17",1498.06,pending
146,4449,"2024-08-13 19:42:31",3949.44,shipped
147,1017,"2025-03-29 17:06:09",7929.77,cancelled
148,4220,"2024-09-28 15:49:51",7546.85,shipped
149,3755,"2024-12-22 10:47:24",3460.49,shipped
150,3705,"2024-10-31 04:13:06",6587.19,delivered
151,1897,"2024-06-14 13:30:42",6202.25,processing
152,270,"2025-02-07 12:40:12",3082.92,processing
153,1926,"2024-10-19 06:05:02",10915.5,shipped
154,4732,"2024-11-30 21:33:55",4806.48,processing
155,2725,"2024-07-15 20:08:58",2748.14,cancelled
156,275,"2025-05-01 14:38:02",7206.42,shipped
157,3970,"2024-06-19 04:03:35",12647.5,cancelled
158,2480,"2024-10-09 07:13:23",4195,processing
159,133,"2024-08-10 19:18:40",6065.29,cancelled
160,1278,"2024-12-22 15:22:59",9932.07,pending
161,3786,"2024-07-26 13:55:36",1654.9,cancelled
162,98,"2025-02-18 08:25:35",8630.56,delivered
163,1750,"2024-07-29 10:08:39",1360.56,shipped
164,1560,"2025-01-02 04:50:36",4426.24,processing
165,2289,"2024-07-10 13:10:41",4065.67,processing
166,325,"2025-04-20 03:30:53",5435.39,processing
167,3727,"2024-12-02 08:22:30",2603.55,cancelled
