id,order_id,customer_id,amount,payment_date,payment_method,status
1,1,3855,576.72,"2024-05-26 18:13:05",paypal,completed
2,2,3654,1488.1,"2024-11-20 00:24:15",bank_transfer,pending
3,4,140,2958.96,"2025-02-24 13:09:09",paypal,pending
4,5,4476,6025.56,"2024-07-29 02:47:13",bank_transfer,completed
5,6,646,6783.29,"2025-03-02 07:44:45",credit_card,completed
6,8,696,3445.82,"2024-06-10 03:16:36",credit_card,pending
7,9,239,2801.88,"2024-05-23 13:28:20",credit_card,completed
8,10,3106,2904.66,"2024-06-28 17:01:03",credit_card,pending
9,11,4088,4960.75,"2024-12-25 18:27:24",credit_card,completed
10,12,2672,2516.79,"2025-02-13 23:15:17",paypal,completed
11,13,3568,1926.56,"2024-09-20 20:37:08",paypal,completed
12,16,3639,799.02,"2024-09-08 09:22:41",paypal,completed
13,17,1491,7802.34,"2025-01-18 08:58:33",bank_transfer,pending
14,18,280,3287.52,"2024-05-30 20:30:46",credit_card,completed
15,19,238,5933.76,"2024-08-31 04:52:00",paypal,completed
16,20,1090,237.42,"2024-10-21 11:26:21",credit_card,completed
17,21,605,906.18,"2024-12-16 00:32:46",bank_transfer,completed
18,22,4470,2987.16,"2025-04-13 18:50:56",paypal,pending
19,23,1113,4467.24,"2025-04-05 03:46:36",paypal,completed
20,24,3656,7760.87,"2025-04-16 01:11:58",credit_card,pending
21,25,430,9075.07,"2024-08-25 06:00:39",bank_transfer,completed
22,26,4970,2654.76,"2024-08-13 08:27:58",bank_transfer,completed
23,28,3000,3277.01,"2024-06-27 22:14:37",credit_card,completed
24,29,164,5237.12,"2024-06-03 19:11:11",bank_transfer,completed
25,30,3606,87.36,"2025-04-24 22:15:57",paypal,completed
26,32,2590,939.86,"2025-02-22 10:04:01",paypal,completed
27,33,1367,5938.74,"2024-05-07 17:32:06",paypal,completed
28,34,1037,7239.77,"2024-09-10 18:04:38",credit_card,pending
29,35,3750,7440.49,"2024-08-17 07:05:17",bank_transfer,completed
30,36,4502,4123.81,"2025-01-04 01:04:32",credit_card,completed
31,37,2532,7297.69,"2024-08-31 07:58:04",credit_card,completed
32,39,2878,8508.08,"2024-11-25 03:50:19",credit_card,completed
33,40,3395,2136.45,"2024-07-21 11:00:45",bank_transfer,completed
34,41,4474,8443.39,"2024-06-22 11:58:22",credit_card,completed
35,42,419,2688.05,"2024-12-17 10:18:48",bank_transfer,completed
36,44,4884,3031.15,"2024-12-19 10:59:33",paypal,completed
37,45,1185,4671.69,"2024-09-11 14:29:40",paypal,completed
38,48,3929,1379.54,"2024-05-17 11:33:28",credit_card,pending
39,49,1775,231.44,"2024-12-13 15:47:52",credit_card,completed
40,50,710,1303.81,"2025-02-18 21:42:55",credit_card,completed
41,51,1096,2327.85,"2024-08-26 22:17:25",credit_card,completed
42,52,1262,3579.42,"2024-06-07 15:18:20",bank_transfer,pending
43,53,3879,5510.8,"2024-11-22 16:58:50",credit_card,completed
44,54,573,15640.5,"2024-11-08 05:57:23",credit_card,completed
45,55,719,4757.01,"2025-03-02 02:39:04",paypal,completed
46,56,1507,3986.05,"2024-12-07 13:24:16",paypal,completed
47,57,1158,5118.81,"2025-01-28 12:29:22",paypal,completed
48,58,3443,3355.68,"2024-08-16 22:28:07",credit_card,pending
49,59,2130,6015.62,"2024-12-16 04:40:50",bank_transfer,completed
50,61,3324,9199,"2024-09-25 04:32:47",bank_transfer,completed
51,62,2106,7773.95,"2024-09-22 12:08:46",bank_transfer,completed
52,63,2548,624.32,"2025-04-06 01:18:25",credit_card,pending
53,64,407,869.12,"2024-05-21 22:06:49",credit_card,completed
54,65,3572,7828.73,"2024-08-14 03:39:29",paypal,completed
55,67,957,6328.36,"2024-09-07 11:28:44",paypal,completed
56,68,674,5003.52,"2024-06-26 01:06:31",bank_transfer,completed
57,69,2727,1244.89,"2024-07-06 04:43:40",paypal,completed
58,72,3894,7380.36,"2025-03-11 00:38:49",bank_transfer,pending
59,73,831,2236.42,"2024-06-10 13:55:03",paypal,completed
60,75,2820,5988.71,"2025-02-04 19:01:43",bank_transfer,pending
61,77,2730,6493.17,"2024-11-20 01:20:16",paypal,pending
62,78,4007,7932.94,"2024-11-10 09:04:21",credit_card,pending
63,79,2779,8120.95,"2024-08-04 22:28:42",paypal,completed
64,81,2870,239.26,"2025-02-24 00:49:51",paypal,completed
65,82,2814,1281.6,"2024-10-20 03:38:27",credit_card,completed
66,83,635,13878.5,"2025-03-30 10:05:52",bank_transfer,completed
67,84,1640,9101.34,"2024-12-05 00:27:03",paypal,pending
68,85,486,6943.6,"2025-02-04 05:31:51",credit_card,completed
69,86,3146,11694.4,"2025-03-16 10:57:38",credit_card,completed
70,87,4985,3942.15,"2025-03-12 00:09:45",paypal,completed
71,90,4008,4932.13,"2024-12-01 05:42:14",credit_card,completed
72,91,3636,611.82,"2024-06-19 04:07:00",paypal,completed
73,92,1688,4848.41,"2024-05-19 04:37:26",paypal,completed
74,93,2185,13507.1,"2024-07-21 18:55:56",credit_card,completed
75,94,4386,2644.07,"2024-08-16 00:10:54",credit_card,completed
76,95,24,3906.85,"2025-01-28 00:24:06",bank_transfer,completed
77,97,1390,3933.47,"2024-06-15 11:20:21",paypal,pending
78,98,3409,196.12,"2024-07-25 20:53:10",credit_card,completed
79,100,3501,12132,"2025-04-28 17:45:12",bank_transfer,pending
80,101,2604,5223.98,"2024-06-25 19:58:57",paypal,completed
81,102,2085,4280.94,"2025-03-27 22:33:08",bank_transfer,completed
82,104,2345,8356.39,"2024-07-31 05:33:51",bank_transfer,completed
83,105,1207,1689.61,"2024-10-12 20:03:04",paypal,completed
84,106,3628,4298.56,"2025-04-22 05:06:09",paypal,completed
85,107,2732,4589.13,"2024-06-05 08:29:28",credit_card,pending
86,108,3730,3918.12,"2024-10-04 23:43:32",bank_transfer,completed
87,109,2840,731.51,"2025-04-19 09:46:10",bank_transfer,pending
88,110,4492,842.56,"2024-12-05 19:52:40",credit_card,pending
89,111,2504,930.66,"2024-11-09 13:32:32",bank_transfer,completed
90,112,4164,7669.04,"2024-09-20 21:11:00",paypal,completed
91,113,365,4876.45,"2024-09-17 05:36:01",credit_card,completed
92,114,657,3432.36,"2024-07-05 12:13:47",paypal,completed
93,115,1703,5911.24,"2025-02-18 19:04:23",paypal,pending
94,116,4726,4152.22,"2024-09-06 18:36:58",credit_card,completed
95,117,2726,10174.8,"2024-10-19 21:43:47",credit_card,completed
96,118,81,2212.98,"2024-06-16 05:07:55",paypal,completed
97,119,2917,731.6,"2024-12-07 15:17:04",credit_card,completed
98,121,3176,5479.75,"2025-04-03 12:03:47",paypal,completed
99,123,880,3415.36,"2024-12-04 14:13:09",bank_transfer,completed
100,127,2430,2943.03,"2024-05-05 03:57:24",bank_transfer,completed
101,128,766,10926.1,"2025-04-24 18:49:56",bank_transfer,completed
102,130,185,3896.82,"2024-12-20 22:45:20",bank_transfer,completed
103,131,1034,913.94,"2025-03-23 03:56:02",paypal,completed
104,132,725,6117.26,"2025-02-26 13:36:26",paypal,completed
105,133,1999,1448.46,"2024-07-19 22:07:28",paypal,completed
106,134,2935,579.78,"2024-06-19 16:14:28",bank_transfer,completed
107,135,2667,1664.68,"2024-11-05 00:55:53",bank_transfer,completed
108,136,718,8555.59,"2024-07-25 05:25:29",paypal,completed
109,137,2351,3938.93,"2024-09-30 05:44:05",credit_card,completed
110,138,1735,8328.01,"2024-05-07 02:08:39",bank_transfer,completed
111,139,875,2323.83,"2024-10-10 09:51:06",credit_card,completed
112,140,1495,6377.18,"2024-07-14 19:41:34",credit_card,completed
113,141,3081,650.73,"2025-04-17 03:56:51",credit_card,pending
114,142,2701,653.86,"2025-01-18 02:29:54",bank_transfer,pending
115,143,4342,9339.12,"2024-09-25 20:49:47",credit_card,completed
116,144,2988,737.7,"2025-01-14 02:44:32",paypal,completed
117,145,1305,1498.06,"2024-06-13 13:25:17",paypal,pending
118,146,4449,3949.44,"2024-08-13 20:13:31",paypal,completed
119,148,4220,7546.85,"2024-09-28 16:30:51",paypal,completed
120,149,3755,3460.49,"2024-12-22 11:31:24",credit_card,completed
121,150,3705,6587.19,"2024-10-31 05:10:06",bank_transfer,completed
122,151,1897,6202.25,"2024-06-14 13:46:42",credit_card,completed
123,152,270,3082.92,"2025-02-07 13:28:12",credit_card,completed
124,153,1926,10915.5,"2024-10-19 06:23:02",paypal,completed
125,154,4732,4806.48,"2024-11-30 22:07:55",paypal,completed
126,156,275,7206.42,"2025-05-01 15:37:02",credit_card,completed
127,158,2480,4195,"2024-10-09 07:41:23",paypal,completed
128,160,1278,9932.07,"2024-12-22 16:21:59",bank_transfer,pending
129,162,98,8630.56,"2025-02-18 08:37:35",paypal,completed
130,163,1750,1360.56,"2024-07-29 10:52:39",credit_card,completed
131,164,1560,4426.24,"2025-01-02 05:33:36",paypal,completed
132,165,2289,4065.67,"2024-07-10 13:26:41",bank_transfer,completed
133,166,325,5435.39,"2025-04-20 04:12:53",paypal,completed
134,168,4741,1526.54,"2024-05-22 00:35:40",paypal,pending
135,169,967,1219.11,"2025-01-16 19:45:13",bank_transfer,completed
136,170,4821,3470.65,"2024-11-23 16:39:16",bank_transfer,completed
137,171,1791,8650.4,"2024-08-28 19:12:53",bank_transfer,pending
138,173,908,3368.36,"2024-08-27 08:33:54",bank_transfer,completed
139,174,1073,5987.92,"2024-11-03 19:48:19",bank_transfer,completed
140,175,4155,482.15,"2024-11-26 11:06:49",credit_card,completed
141,177,3634,857.55,"2024-08-13 05:48:07",bank_transfer,completed
142,178,3905,7097.26,"2025-02-02 15:55:15",bank_transfer,completed
143,181,3047,5110.26,"2024-10-11 06:43:48",bank_transfer,completed
144,182,2693,411.6,"2025-02-02 10:31:27",bank_transfer,completed
145,184,3250,3182.45,"2025-01-10 05:06:32",credit_card,completed
146,185,3081,2978.36,"2024-07-21 20:25:10",credit_card,completed
147,186,201,5789.38,"2024-09-30 06:26:30",bank_transfer,completed
148,188,4485,3162.43,"2025-03-07 22:17:49",credit_card,completed
149,189,3035,6858.5,"2024-08-28 03:15:20",paypal,completed
150,190,2231,7035.76,"2024-06-20 08:08:36",bank_transfer,completed
151,191,3422,8642.96,"2024-05-17 20:26:22",paypal,completed
152,194,1675,8155.98,"2024-05-05 17:11:37",paypal,completed
153,195,2734,5909.17,"2025-01-07 16:18:04",bank_transfer,completed
154,196,796,3112.17,"2024-05-27 16:50:52",credit_card,completed
155,197,610,4335.4,"2024-05-23 23:09:32",credit_card,completed
156,198,3453,1002.14,"2024-07-27 15:08:55",bank_transfer,completed
157,199,2658,2543.06,"2025-02-27 02:29:28",paypal,pending
158,201,1534,3827.94,"2025-03-25 03:17:57",credit_card,pending
159,202,673,8986.81,"2024-11-02 14:53:19",paypal,completed
160,204,1358,478.76,"2024-05-12 00:53:40",bank_transfer,pending
161,206,2976,3129.15,"2024-09-27 17:32:07",bank_transfer,pending
162,208,1001,1495.52,"2025-02-22 07:01:10",paypal,completed
163,209,3600,8935.13,"2024-10-28 14:56:22",paypal,completed
164,210,2989,427.46,"2024-08-05 14:19:18",paypal,completed
165,212,69,1585.08,"2024-11-13 08:38:12",bank_transfer,completed
166,214,4104,8428.65,"2025-02-28 05:06:00",paypal,completed
167,216,694,5756.7,"2025-01-04 20:43:22",bank_transfer,completed
168,217,2074,11608.8,"2024-09-26 04:01:00",paypal,pending
169,218,4584,1067.15,"2025-03-01 03:09:20",paypal,completed
170,219,3024,6414.82,"2024-11-15 03:20:06",credit_card,pending
171,220,3526,10662.9,"2024-06-27 11:50:07",bank_transfer,completed
172,221,3506,1471.37,"2024-12-30 03:42:41",credit_card,completed
173,222,2479,7390.47,"2025-01-11 00:12:16",credit_card,pending
174,223,348,455,"2024-10-21 12:26:22",bank_transfer,completed
175,224,2924,2275,"2024-07-23 17:06:18",bank_transfer,completed
176,225,2355,12127.5,"2025-01-19 14:28:50",bank_transfer,completed
177,226,3286,938.04,"2024-05-21 14:20:41",paypal,pending
178,227,2647,3668.35,"2024-12-08 18:50:27",credit_card,completed
179,228,98,7683.61,"2025-04-24 14:23:33",paypal,completed
180,229,2312,626.13,"2024-09-29 18:20:34",paypal,completed
181,231,1226,4053.67,"2024-09-01 02:56:09",credit_card,completed
182,232,2640,6999.99,"2024-08-10 11:36:26",credit_card,completed
183,233,1701,3404.74,"2024-11-26 09:23:47",paypal,completed
184,234,3610,5595.89,"2024-08-25 12:51:15",credit_card,completed
185,235,1414,3697.15,"2024-11-07 03:03:19",bank_transfer,completed
186,236,4567,1931.41,"2025-02-09 08:31:28",bank_transfer,pending
187,237,869,5560.1,"2025-01-22 06:00:08",credit_card,completed
188,238,3996,4632.93,"2024-12-06 13:38:49",bank_transfer,completed
189,239,2511,199.68,"2024-10-21 04:53:21",credit_card,completed
190,242,3184,3952.56,"2025-04-01 09:41:53",paypal,completed
191,243,989,8128.89,"2024-12-29 14:26:45",paypal,completed
192,245,4137,4792.05,"2024-09-18 16:28:53",credit_card,completed
193,246,3180,6594.04,"2024-07-12 10:03:24",paypal,completed
194,247,843,2645.49,"2024-12-11 22:04:33",paypal,completed
195,248,1728,2506.86,"2025-02-12 09:00:44",bank_transfer,pending
196,249,1463,7577.97,"2024-07-24 12:51:19",bank_transfer,pending
197,250,4758,2010,"2024-08-08 07:34:04",credit_card,pending
198,252,3654,6570.13,"2024-12-09 18:41:18",bank_transfer,pending
199,253,3801,4908.32,"2024-07-20 23:26:21",paypal,completed
200,254,4059,2492.76,"2024-11-14 04:57:52",paypal,completed
201,255,820,6692.1,"2024-07-18 04:45:18",paypal,completed
202,257,4174,6114,"2024-12-27 03:03:26",bank_transfer,completed
203,258,3777,8527.85,"2025-03-11 11:17:25",bank_transfer,completed
204,259,2034,8205.71,"2025-04-10 11:00:03",credit_card,completed
205,260,2907,3084.5,"2024-05-27 23:40:51",bank_transfer,completed
206,261,1427,2403.67,"2025-01-10 23:27:44",bank_transfer,completed
207,262,1490,6713.41,"2025-02-12 00:23:43",bank_transfer,completed
208,263,2556,4687.72,"2025-02-16 22:37:28",paypal,completed
209,264,1928,2494.98,"2024-09-08 01:59:24",credit_card,completed
210,265,4521,3078.79,"2024-06-21 16:14:45",credit_card,completed
211,266,2665,1017.64,"2024-06-29 06:12:39",credit_card,pending
212,267,2342,527.44,"2024-06-16 00:48:48",credit_card,completed
213,268,3022,1668.88,"2024-05-19 21:06:07",bank_transfer,completed
214,270,1020,255.76,"2024-05-22 13:20:56",paypal,completed
215,273,2217,1735.58,"2025-01-20 04:20:16",paypal,completed
216,275,4731,1402.86,"2024-08-18 22:53:52",bank_transfer,completed
217,276,2106,4417.98,"2024-05-22 03:08:34",paypal,completed
218,278,4832,5471.6,"2025-04-24 23:06:47",credit_card,completed
219,279,4902,3786.2,"2024-11-29 11:24:44",credit_card,pending
220,280,157,9133.36,"2024-06-27 15:54:42",credit_card,completed
221,281,500,5463.9,"2024-10-02 14:21:01",credit_card,completed
222,282,4228,5494.62,"2024-12-08 19:50:51",credit_card,completed
223,283,3116,3320.84,"2025-03-02 20:54:47",paypal,completed
224,284,2299,8598.12,"2024-10-17 14:56:23",bank_transfer,pending
225,285,3868,2907.39,"2025-04-05 20:13:11",paypal,pending
226,286,3952,951.44,"2024-11-26 06:00:59",paypal,completed
227,287,477,5874.17,"2025-03-31 10:39:07",paypal,completed
228,288,4733,420.77,"2024-05-21 07:38:32",paypal,completed
229,289,231,92.58,"2024-07-18 21:29:02",credit_card,completed
230,290,799,969.41,"2024-10-26 02:23:10",credit_card,completed
231,291,1546,8681.64,"2024-07-06 07:20:53",credit_card,pending
