id,order_id,shipping_date,tracking_number,carrier,status
1,12,"2025-02-15 22:17:17",TRK-85694554-hRDd,FedEx,delivered
2,13,"2024-09-22 20:32:08",TRK-49382436-rboo,USPS,delivered
3,16,"2024-09-09 09:03:41",TRK-36283004-CPra,USPS,in_transit
4,20,"2024-10-23 10:56:21",TRK-57562111-mais,UPS,in_transit
5,21,"2024-12-18 00:29:46",TRK-88889834-PEXW,FedEx,delivered
6,25,"2024-08-27 05:07:39",TRK-52120902-LhpH,DHL,delivered
7,26,"2024-08-16 07:28:58",TRK-25305404-bzLO,USPS,delivered
8,28,"2024-06-28 21:19:37",TRK-99584126-hrTJ,FedEx,delivered
9,29,"2024-06-05 18:42:11",TRK-58906291-kdAr,USPS,delivered
10,30,"2025-04-27 21:18:57",TRK-31571250-PdnD,FedEx,in_transit
11,33,"2024-05-09 17:20:06",TRK-17551830-ekMR,FedEx,in_transit
12,35,"2024-08-20 06:30:17",TRK-29611512-gofJ,USPS,delivered
13,36,"2025-01-07 00:24:32",TRK-36458496-nIdd,UPS,delivered
14,37,"2024-09-01 07:52:04",TRK-70329592-QxoR,UPS,in_transit
15,39,"2024-11-28 03:05:19",TRK-67796866-QceR,DHL,in_transit
16,40,"2024-07-23 10:35:45",TRK-00974786-cFJZ,UPS,delivered
17,41,"2024-06-24 11:00:22",TRK-52306023-kzyd,UPS,in_transit
18,42,"2024-12-20 10:07:48",TRK-98194820-JMxB,DHL,delivered
19,45,"2024-09-12 13:49:40",TRK-84550242-dgYf,USPS,in_transit
20,50,"2025-02-19 21:17:55",TRK-64772243-Mduq,UPS,in_transit
21,53,"2024-11-23 16:32:50",TRK-82754354-faOg,UPS,in_transit
22,55,"2025-03-04 02:09:04",TRK-75302081-zgvu,DHL,in_transit
23,57,"2025-01-31 11:31:22",TRK-27974302-CAhq,FedEx,delivered
24,59,"2024-12-18 03:45:50",TRK-58880475-ggzb,USPS,delivered
25,61,"2024-09-28 03:33:47",TRK-15462349-jwTJ,UPS,delivered
26,62,"2024-09-25 11:47:46",TRK-40925075-SFGv,USPS,delivered
27,64,"2024-05-23 21:56:49",TRK-45576865-QrfM,USPS,in_transit
28,67,"2024-09-08 11:19:44",TRK-10404624-InTJ,UPS,delivered
29,68,"2024-06-27 00:59:31",TRK-08177271-TShV,USPS,in_transit
30,69,"2024-07-07 04:11:40",TRK-03384002-tSxn,USPS,in_transit
31,73,"2024-06-12 13:31:03",TRK-09763974-qPnF,UPS,delivered
32,79,"2024-08-06 22:08:42",TRK-05708073-vSWL,USPS,in_transit
33,81,"2025-02-25 00:41:51",TRK-42244953-LwBI,USPS,delivered
