id,customer_id,product_id,added_date
1,1,75,"2025-02-07 09:02:54"
2,1,663,"2024-08-04 21:43:45"
3,1,601,"2024-12-29 10:04:04"
4,1,509,"2024-09-12 22:37:30"
5,1,729,"2024-08-22 12:49:47"
6,1,912,"2025-05-02 11:42:26"
7,1,172,"2024-06-23 00:40:34"
8,2,625,"2024-05-30 19:55:51"
9,2,324,"2024-10-01 20:35:38"
10,2,398,"2024-09-13 21:18:24"
11,2,604,"2024-10-02 17:38:01"
12,2,33,"2024-09-28 19:33:37"
13,2,542,"2024-06-26 15:56:22"
14,2,217,"2025-03-17 23:50:49"
15,2,112,"2025-01-07 20:12:11"
16,2,439,"2024-06-22 23:39:19"
17,4,177,"2024-12-13 09:46:05"
18,4,400,"2024-12-05 11:40:12"
19,4,899,"2025-05-02 03:20:08"
20,4,729,"2024-08-10 06:37:09"
21,4,169,"2024-10-18 14:55:59"
22,4,433,"2024-07-15 14:17:50"
23,4,153,"2024-10-07 18:25:24"
24,4,86,"2024-11-05 00:52:53"
25,9,410,"2025-01-06 02:39:27"
26,9,239,"2025-03-03 16:41:30"
27,9,852,"2024-12-07 12:42:26"
28,11,280,"2025-03-07 10:06:28"
29,11,244,"2024-08-06 19:38:02"
30,11,588,"2025-03-27 05:32:28"
31,11,720,"2024-11-18 04:30:57"
32,12,183,"2025-01-18 04:50:03"
33,12,713,"2024-10-10 23:55:42"
34,12,325,"2024-07-18 04:32:29"
35,14,547,"2024-11-03 21:14:59"
36,14,142,"2025-01-02 11:03:13"
37,14,394,"2024-07-15 19:49:51"
38,14,214,"2025-03-08 23:33:57"
39,18,269,"2025-04-29 08:47:36"
40,18,529,"2024-11-10 08:23:38"
41,18,183,"2024-10-05 20:02:36"
42,18,497,"2025-03-22 07:16:10"
43,18,1000,"2025-04-14 23:42:39"
44,18,874,"2025-02-01 16:18:29"
45,18,411,"2025-04-04 22:37:08"
46,18,629,"2024-11-16 00:58:42"
47,19,634,"2024-09-02 14:47:04"
48,19,181,"2025-01-17 11:58:56"
49,19,677,"2024-09-21 01:05:12"
50,19,433,"2025-01-19 06:15:32"
51,19,306,"2024-05-25 16:19:38"
52,19,107,"2025-03-16 17:48:34"
53,21,878,"2024-09-14 13:49:09"
54,21,395,"2024-06-28 02:51:25"
55,21,34,"2024-12-23 13:55:11"
56,21,915,"2024-09-08 07:18:16"
57,21,129,"2025-02-27 12:15:18"
58,21,883,"2025-03-05 23:41:37"
59,21,771,"2024-06-05 02:49:35"
60,21,493,"2025-04-07 16:55:31"
61,22,786,"2025-02-26 23:48:15"
62,22,757,"2025-01-19 09:26:16"
63,24,92,"2024-06-01 16:11:15"
64,24,709,"2025-03-14 20:30:34"
65,24,354,"2025-04-24 22:20:02"
66,27,988,"2024-08-20 15:32:24"
67,27,752,"2024-11-12 14:43:37"
68,27,845,"2024-07-28 15:25:56"
69,27,984,"2025-02-24 18:02:25"
70,27,116,"2024-05-19 15:50:21"
71,27,708,"2024-12-07 03:30:12"
72,28,329,"2025-04-18 06:36:14"
73,28,699,"2025-01-15 13:39:24"
74,28,200,"2025-01-12 19:05:09"
75,28,213,"2025-01-22 16:40:37"
76,28,218,"2024-07-03 10:44:22"
77,28,283,"2024-09-25 12:38:09"
78,28,401,"2024-05-27 06:37:27"
79,28,67,"2024-12-16 18:01:49"
80,28,889,"2025-04-27 06:55:55"
81,28,216,"2025-02-22 14:07:00"
82,30,67,"2024-10-06 00:20:29"
83,30,283,"2025-04-06 19:56:21"
84,30,551,"2025-02-25 14:15:34"
85,30,576,"2024-10-24 16:26:06"
86,30,978,"2024-10-23 17:48:32"
87,30,833,"2024-07-22 18:51:11"
88,30,215,"2025-01-20 00:18:12"
89,30,162,"2025-03-23 05:10:31"
90,32,357,"2024-12-08 12:08:16"
91,32,619,"2025-01-27 16:34:05"
92,32,781,"2025-02-05 19:30:48"
93,32,531,"2025-04-12 10:52:53"
94,32,739,"2024-10-22 22:55:49"
95,32,975,"2024-09-05 06:57:37"
96,32,958,"2024-08-16 13:36:41"
97,32,811,"2025-04-30 09:19:32"
98,32,375,"2024-11-15 20:59:51"
99,32,548,"2024-07-11 14:37:24"
100,36,438,"2024-12-23 14:29:50"
101,36,639,"2024-07-24 03:39:11"
102,36,202,"2025-02-19 22:50:16"
103,36,655,"2024-11-08 01:01:48"
104,36,379,"2024-10-21 12:30:32"
105,36,921,"2025-04-06 14:04:46"
106,36,3,"2024-07-19 07:15:45"
107,36,776,"2024-10-06 19:11:21"
108,36,820,"2025-01-18 11:49:42"
109,36,52,"2025-04-11 12:38:55"
110,42,400,"2024-08-30 09:10:09"
111,42,148,"2024-12-15 23:41:38"
112,43,457,"2025-02-20 13:07:53"
113,43,642,"2024-05-10 02:32:18"
114,43,504,"2024-05-13 14:05:33"
115,43,275,"2025-01-11 09:49:58"
116,43,955,"2024-12-03 22:02:54"
117,43,219,"2024-05-16 01:58:46"
118,43,258,"2024-10-20 23:58:16"
119,43,114,"2024-07-22 11:51:00"
120,45,94,"2025-03-13 10:29:51"
121,45,177,"2024-10-27 17:56:23"
122,45,369,"2024-09-11 17:19:13"
123,45,914,"2025-03-25 07:26:06"
124,55,838,"2024-11-22 18:59:31"
125,57,361,"2024-06-18 19:32:26"
126,57,848,"2024-09-21 09:32:14"
127,57,953,"2025-04-19 22:08:54"
128,57,513,"2024-12-08 07:18:28"
129,57,625,"2024-12-31 20:12:05"
130,57,81,"2024-06-22 09:23:11"
131,57,426,"2024-05-23 21:42:07"
132,60,449,"2024-10-19 13:10:47"
133,60,257,"2024-11-08 02:15:49"
134,60,234,"2025-02-01 18:14:59"
135,60,978,"2025-02-23 22:07:37"
136,60,967,"2024-10-30 05:28:30"
137,64,822,"2024-08-04 23:22:15"
138,64,702,"2024-08-26 00:24:18"
139,64,349,"2024-12-03 06:49:45"
140,64,326,"2024-11-18 14:49:51"
